Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
11;09;01;05;;;TRANSFERENCIAS CORRIENTES;956392;5360
11;09;01;05;02;;Del Gobierno Central;956392;5360
11;09;01;05;02;002;Dirección General de Aeronáutica Civil;138960;0
11;09;01;05;02;009;Programa Antártico - Subsecretaría para las Fuerzas Armadas;662810;0
11;09;01;05;02;012;Fondo para Misiones de Paz-Estado Mayor Conjunto;154622;5360
11;09;01;07;;;INGRESOS DE OPERACIÓN;3108828;0
11;09;01;07;02;;Venta de Servicios;3108828;0
11;09;01;08;;;OTROS INGRESOS CORRIENTES;875748;0
11;09;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;93205;0
11;09;01;08;99;;Otros;782543;0
11;09;01;09;;;APORTE FISCAL;205816651;77984
11;09;01;09;01;;Libre;205816651;77984
11;09;01;12;;;RECUPERACIÓN DE PRÉSTAMOS;462090;750
11;09;01;12;07;;Por Anticipos por Cambio de Residencia;462090;750
11;09;01;21;;;GASTOS EN PERSONAL;179507687;14552
11;09;01;22;;;BIENES Y SERVICIOS DE CONSUMO;26369541;67793
11;09;01;23;;;PRESTACIONES DE SEGURIDAD SOCIAL;0;7
11;09;01;23;01;;Prestaciones Previsionales;0;7
11;09;01;24;;;TRANSFERENCIAS CORRIENTES;3446182;0
11;09;01;24;01;;Al Sector Privado;696788;0
11;09;01;24;01;004;Premios y Otros;79286;0
11;09;01;24;01;009;Medicina Curativa;588550;0
11;09;01;24;01;021;Becas;28952;0
11;09;01;24;02;;Al Gobierno Central;1675916;0
11;09;01;24;02;001;Ejército de Chile;17958;0
11;09;01;24;02;002;Servicio Aerofotogramétrico de la FACH;340275;0
11;09;01;24;02;004;Organismos de Salud de la FACH;1123407;0
11;09;01;24;02;009;Estado Mayor Conjunto;143659;0
11;09;01;24;02;010;Subsecretaría para las Fuerzas Armadas;38958;0
11;09;01;24;02;011;Subsecretaría de Defensa;6899;0
11;09;01;24;02;012;Dirección General de Movilización Nacional;4760;0
11;09;01;24;03;;A Otras Entidades Públicas;1073478;0
11;09;01;24;03;243;Bienestar Social;1073478;0
11;09;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;771430;992
11;09;01;29;03;;Vehículos;302000;508
11;09;01;29;04;;Mobiliario y Otros;42983;10
11;09;01;29;05;;Máquinas y Equipos;97930;427
11;09;01;29;06;;Equipos Informáticos;226364;47
11;09;01;29;07;;Programas Informáticos;102153;0
11;09;01;32;;;PRÉSTAMOS;462090;750
11;09;01;32;07;;Por Anticipos por Cambio de Residencia;462090;750
11;09;01;33;;;TRANSFERENCIAS DE CAPITAL;662779;0
11;09;01;33;03;;A Otras Entidades Públicas;662779;0
11;09;01;33;03;070;Bienestar Social;662779;0
