Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
16;20;01;05;;;TRANSFERENCIAS CORRIENTES;61984511;0
16;20;01;05;02;;Del Gobierno Central;61984511;0
16;20;01;05;02;007;Fondo Nacional de Salud - Atención Primaria;20217832;0
16;20;01;05;02;008;Fondo Nacional de Salud - Prestaciones Valoradas;15308877;0
16;20;01;05;02;009;Fondo Nacional de Salud - Prestaciones Institucionales;24976187;0
16;20;01;05;02;010;Subsecretaría de Salud Pública;1481615;0
16;20;01;06;;;RENTAS DE LA PROPIEDAD;755;0
16;20;01;07;;;INGRESOS DE OPERACIÓN;1794050;0
16;20;01;08;;;OTROS INGRESOS CORRIENTES;913332;0
16;20;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;801168;0
16;20;01;08;99;;Otros;112164;0
16;20;01;12;;;RECUPERACIÓN DE PRÉSTAMOS;168769;0
16;20;01;12;10;;Ingresos por Percibir;168769;0
16;20;01;15;;;SALDO INICIAL DE CAJA;6836;0
16;20;01;21;;;GASTOS EN PERSONAL;31702421;0
16;20;01;22;;;BIENES Y SERVICIOS DE CONSUMO;14943235;0
16;20;01;23;;;PRESTACIONES DE SEGURIDAD SOCIAL;794;0
16;20;01;23;02;;Prestaciones de Asistencia Social;794;0
16;20;01;23;02;004;Ayudas Económicas y Otros Pagos Preventivos;794;0
16;20;01;24;;;TRANSFERENCIAS CORRIENTES;18047106;0
16;20;01;24;01;;Al Sector Privado;45494;0
16;20;01;24;01;395;Programa Especial de Salud de los Pueblos Indígenas;41200;0
16;20;01;24;01;461;Centros de Prevención de Alcoholismo y Salud Mental;4294;0
16;20;01;24;03;;A Otras Entidades Públicas;18001612;0
16;20;01;24;03;298;Atención Primaria, Ley N° 19.378;18001612;0
16;20;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;167861;0
16;20;01;29;04;;Mobiliario y Otros;167861;0
16;20;01;35;;;SALDO FINAL DE CAJA;6836;0
