Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
27;02;02;09;;;APORTE FISCAL;7476582;0
27;02;02;09;01;;Libre;7476582;0
27;02;02;15;;;SALDO INICIAL DE CAJA;500;0
27;02;02;21;;;GASTOS EN PERSONAL;276286;0
27;02;02;22;;;BIENES Y SERVICIOS DE CONSUMO;305597;0
27;02;02;24;;;TRANSFERENCIAS CORRIENTES;6894699;0
27;02;02;24;01;;Al Sector Privado;3249309;0
27;02;02;24;01;005;Programa "4 a 7";2937559;0
27;02;02;24;01;006;Mujer, Asociatividad y Emprendimiento;311750;0
27;02;02;24;03;;A Otras Entidades Públicas;3645390;0
27;02;02;24;03;001;Apoyo a Mujeres Jefas de Hogar;3645390;0
27;02;02;34;;;SERVICIO DE LA DEUDA;500;0
27;02;02;34;07;;Deuda Flotante;500;0
