Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
12;02;08;07;;;INGRESOS DE OPERACIÓN;19430034;0
12;02;08;08;;;OTROS INGRESOS CORRIENTES;6200457;0
12;02;08;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;4120;0
12;02;08;08;99;;Otros;6196337;0
12;02;08;09;;;APORTE FISCAL;174593057;0
12;02;08;09;01;;Libre;174593057;0
12;02;08;13;;;TRANSFERENCIAS PARA GASTOS DE CAPITAL;337042559;0
12;02;08;13;01;;Del Sector Privado;160777;0
12;02;08;13;01;001;Aportes Concesionarios para Expropiaciones;160777;0
12;02;08;13;02;;Del Gobierno Central;336881782;0
12;02;08;13;02;001;I.V.A. Concesiones Obras Públicas;254134325;0
12;02;08;13;02;002;Fondo de Infraestructura;64555570;0
12;02;08;13;02;005;Reintegro IVA concesiones - DGAC;18191887;0
12;02;08;15;;;SALDO INICIAL DE CAJA;10000;0
12;02;08;21;;;GASTOS EN PERSONAL;10335635;0
12;02;08;22;;;BIENES Y SERVICIOS DE CONSUMO;941125;0
12;02;08;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;112983;0
12;02;08;29;03;;Vehículos;17201;0
12;02;08;29;04;;Mobiliario y Otros;6180;0
12;02;08;29;05;;Máquinas y Equipos;3041;0
12;02;08;29;06;;Equipos Informáticos;14254;0
12;02;08;29;07;;Programas Informáticos;72307;0
12;02;08;31;;;INICIATIVAS DE INVERSIÓN;253549152;0
12;02;08;31;01;;Estudios Básicos;189018;0
12;02;08;31;02;;Proyectos;253360134;0
12;02;08;33;;;TRANSFERENCIAS DE CAPITAL;272326212;0
12;02;08;33;01;;Al Sector Privado;272326212;0
12;02;08;33;01;027;Reintegro Crédito - I.V.A. Concesiones;272326212;0
12;02;08;34;;;SERVICIO DE LA DEUDA;1000;0
12;02;08;34;07;;Deuda Flotante;1000;0
12;02;08;35;;;SALDO FINAL DE CAJA;10000;0
