Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
21;09;01;05;;;TRANSFERENCIAS CORRIENTES;11;0
21;09;01;05;01;;Del Sector Privado;11;0
21;09;01;05;01;001;Aplicación Ley N° 19.885;11;0
21;09;01;08;;;OTROS INGRESOS CORRIENTES;162167;0
21;09;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;162167;0
21;09;01;09;;;APORTE FISCAL;20174803;0
21;09;01;09;01;;Libre;20174803;0
21;09;01;15;;;SALDO INICIAL DE CAJA;1000;0
21;09;01;21;;;GASTOS EN PERSONAL;8086068;0
21;09;01;22;;;BIENES Y SERVICIOS DE CONSUMO;4259753;0
21;09;01;24;;;TRANSFERENCIAS CORRIENTES;6547518;0
21;09;01;24;01;;Al Sector Privado;4810299;0
21;09;01;24;01;029;Fondo de Iniciativas para la Superación de la Pobreza;4810288;0
21;09;01;24;01;030;Aplicación Ley N° 19.885;11;0
21;09;01;24;02;;Al Gobierno Central;278469;0
21;09;01;24;02;001;Colaboración INE Encuesta;278469;0
21;09;01;24;03;;A Otras Entidades Públicas;1458750;0
21;09;01;24;03;330;Encuesta Casen;1458750;0
21;09;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;1443642;0
21;09;01;29;04;;Mobiliario y Otros;18920;0
21;09;01;29;06;;Equipos Informáticos;430540;0
21;09;01;29;07;;Programas Informáticos;994182;0
21;09;01;34;;;SERVICIO DE LA DEUDA;1000;0
21;09;01;34;07;;Deuda Flotante;1000;0
