Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
05;10;03;08;;;OTROS INGRESOS CORRIENTES;10;0
05;10;03;08;99;;Otros;10;0
05;10;03;09;;;APORTE FISCAL;3923673;0
05;10;03;09;01;;Libre;3923673;0
05;10;03;24;;;TRANSFERENCIAS CORRIENTES;751837;0
05;10;03;24;01;;Al Sector Privado;751837;0
05;10;03;24;01;997;Fondo Social;751837;0
05;10;03;33;;;TRANSFERENCIAS DE CAPITAL;3171846;0
05;10;03;33;01;;Al Sector Privado;3171846;0
05;10;03;33;01;995;Fondo Social;3171846;0
