Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
16;45;01;05;;;TRANSFERENCIAS CORRIENTES;199303681;0
16;45;01;05;02;;Del Gobierno Central;199303681;0
16;45;01;05;02;007;Fondo Nacional de Salud - Atención Primaria;63334139;0
16;45;01;05;02;008;Fondo Nacional de Salud - Prestaciones Valoradas;87350448;0
16;45;01;05;02;009;Fondo Nacional de Salud - Prestaciones Institucionales;48033986;0
16;45;01;05;02;010;Subsecretaría de Salud Pública;585108;0
16;45;01;07;;;INGRESOS DE OPERACIÓN;4276118;0
16;45;01;08;;;OTROS INGRESOS CORRIENTES;3619351;0
16;45;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;3165228;0
16;45;01;08;02;;Multas y Sanciones Pecuniarias;16862;0
16;45;01;08;99;;Otros;437261;0
16;45;01;12;;;RECUPERACIÓN DE PRÉSTAMOS;508918;0
16;45;01;12;10;;Ingresos por Percibir;508918;0
16;45;01;15;;;SALDO INICIAL DE CAJA;29147;0
16;45;01;21;;;GASTOS EN PERSONAL;86770406;0
16;45;01;22;;;BIENES Y SERVICIOS DE CONSUMO;64124368;0
16;45;01;23;;;PRESTACIONES DE SEGURIDAD SOCIAL;37865;0
16;45;01;23;02;;Prestaciones de Asistencia Social;37865;0
16;45;01;23;02;004;Ayudas Económicas y Otros Pagos Preventivos;37865;0
16;45;01;24;;;TRANSFERENCIAS CORRIENTES;56510372;0
16;45;01;24;01;;Al Sector Privado;5581;0
16;45;01;24;01;461;Centros de Prevención de Alcoholismo y Salud Mental;5581;0
16;45;01;24;03;;A Otras Entidades Públicas;56504791;0
16;45;01;24;03;298;Atención Primaria, Ley N° 19.378;56504791;0
16;45;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;264987;0
16;45;01;29;04;;Mobiliario y Otros;264987;0
16;45;01;35;;;SALDO FINAL DE CAJA;29217;0
