Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
08;08;01;08;;;OTROS INGRESOS CORRIENTES;345259;0
08;08;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;322599;0
08;08;01;08;02;;Multas y Sanciones Pecuniarias;10300;0
08;08;01;08;99;;Otros;12360;0
08;08;01;09;;;APORTE FISCAL;16227055;0
08;08;01;09;01;;Libre;16058501;0
08;08;01;09;02;;Servicio de la Deuda Interna;168554;0
08;08;01;21;;;GASTOS EN PERSONAL;13654440;0
08;08;01;22;;;BIENES Y SERVICIOS DE CONSUMO;2566340;0
08;08;01;24;;;TRANSFERENCIAS CORRIENTES;34454;0
08;08;01;24;01;;Al Sector Privado;1389;0
08;08;01;24;01;006;Asociación de Supervisores de Seguros de América Latina;1389;0
08;08;01;24;07;;A Organismos Internacionales;33065;0
08;08;01;24;07;001;Organización Internacional de Comisiones de Valores;16391;0
08;08;01;24;07;002;Asociación Internacional de Supervisores de Seguros;16674;0
08;08;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;148526;0
08;08;01;29;04;;Mobiliario y Otros;14420;0
08;08;01;29;05;;Máquinas y Equipos;41200;0
08;08;01;29;06;;Equipos Informáticos;20806;0
08;08;01;29;07;;Programas Informáticos;72100;0
08;08;01;34;;;SERVICIO DE LA DEUDA;168554;0
08;08;01;34;01;;Amortización Deuda Interna;97145;0
08;08;01;34;03;;Intereses Deuda Interna;71409;0
