Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
11;24;01;05;;;TRANSFERENCIAS CORRIENTES;15633;0
11;24;01;05;02;;Del Gobierno Central;15633;0
11;24;01;05;02;003;Ejército de Chile;8734;0
11;24;01;05;02;004;Fuerza Aérea de Chile;6899;0
11;24;01;08;;;OTROS INGRESOS CORRIENTES;4601;0
11;24;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;4601;0
11;24;01;09;;;APORTE FISCAL;4334175;0
11;24;01;09;01;;Libre;4334175;0
11;24;01;21;;;GASTOS EN PERSONAL;2764080;0
11;24;01;22;;;BIENES Y SERVICIOS DE CONSUMO;623839;0
11;24;01;24;;;TRANSFERENCIAS CORRIENTES;904690;0
11;24;01;24;01;;Al Sector Privado;115226;0
11;24;01;24;01;001;Becas;115226;0
11;24;01;24;03;;A Otras Entidades Públicas;710433;0
11;24;01;24;03;001;Academia Nacional de Estudios Políticos y Estratégicos;710433;0
11;24;01;24;07;;A Organismos Internacionales;79031;0
11;24;01;24;07;002;UNASUR;79031;0
11;24;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;61800;0
11;24;01;29;07;;Programas Informáticos;61800;0
