Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
10;06;01;08;;;OTROS INGRESOS CORRIENTES;2060;0
10;06;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;2060;0
10;06;01;09;;;APORTE FISCAL;2984958;0
10;06;01;09;01;;Libre;2984958;0
10;06;01;21;;;GASTOS EN PERSONAL;810367;0
10;06;01;22;;;BIENES Y SERVICIOS DE CONSUMO;427388;0
10;06;01;24;;;TRANSFERENCIAS CORRIENTES;1691634;0
10;06;01;24;03;;A Otras Entidades Públicas;1691634;0
10;06;01;24;03;001;Programa de Derechos Humanos;1691634;0
10;06;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;57629;0
10;06;01;29;03;;Vehículos;24720;0
10;06;01;29;04;;Mobiliario y Otros;9270;0
10;06;01;29;06;;Equipos Informáticos;23639;0
