Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
17;03;01;06;;;RENTAS DE LA PROPIEDAD;82020;0
17;03;01;07;;;INGRESOS DE OPERACIÓN;746470;0
17;03;01;08;;;OTROS INGRESOS CORRIENTES;263428;0
17;03;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;257880;0
17;03;01;08;99;;Otros;5548;0
17;03;01;09;;;APORTE FISCAL;14161562;0
17;03;01;09;01;;Libre;14161562;0
17;03;01;10;;;VENTA DE ACTIVOS NO FINANCIEROS;24720;0
17;03;01;10;03;;Vehículos;24720;0
17;03;01;12;;;RECUPERACIÓN DE PRÉSTAMOS;23690;0
17;03;01;12;10;;Ingresos por Percibir;23690;0
17;03;01;21;;;GASTOS EN PERSONAL;2853184;0
17;03;01;22;;;BIENES Y SERVICIOS DE CONSUMO;1390198;0
17;03;01;24;;;TRANSFERENCIAS CORRIENTES;10700477;0
17;03;01;24;03;;A Otras Entidades Públicas;10700477;0
17;03;01;24;03;001;Propiedad Minera;2836127;0
17;03;01;24;03;002;Cierre Faenas  y Gestión Ambiental;1736356;0
17;03;01;24;03;003;Gestión de Minería;1821152;0
17;03;01;24;03;004;Gestión de Geología;784767;0
17;03;01;24;03;005;Geología Aplicada;1609860;0
17;03;01;24;03;006;Laboratorio;1386425;0
17;03;01;24;03;007;Depósitos de Relaves;525790;0
17;03;01;25;;;INTEGROS AL FISCO;30900;0
17;03;01;25;01;;Impuestos;30900;0
17;03;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;327131;0
17;03;01;29;03;;Vehículos;26780;0
17;03;01;29;05;;Máquinas y Equipos;19570;0
17;03;01;29;06;;Equipos Informáticos;57271;0
17;03;01;29;07;;Programas Informáticos;223510;0
