Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
10;02;01;06;;;RENTAS DE LA PROPIEDAD;18024;0
10;02;01;06;01;;Arriendo de Activos No Financieros;18024;0
10;02;01;07;;;INGRESOS DE OPERACIÓN;136142171;0
10;02;01;07;02;;Venta de Servicios;136142171;0
10;02;01;08;;;OTROS INGRESOS CORRIENTES;1572782;0
10;02;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;1505192;0
10;02;01;08;99;;Otros;67590;0
10;02;01;09;;;APORTE FISCAL;5615320;0
10;02;01;09;01;;Libre;5615320;0
10;02;01;21;;;GASTOS EN PERSONAL;48378682;0
10;02;01;22;;;BIENES Y SERVICIOS DE CONSUMO;78193927;0
10;02;01;25;;;INTEGROS AL FISCO;13664083;0
10;02;01;25;01;;Impuestos;13664083;0
10;02;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;778702;0
10;02;01;29;03;;Vehículos;92332;0
10;02;01;29;04;;Mobiliario y Otros;246678;0
10;02;01;29;05;;Máquinas y Equipos;293792;0
10;02;01;29;06;;Equipos Informáticos;68680;0
10;02;01;29;07;;Programas Informáticos;77220;0
10;02;01;31;;;INICIATIVAS DE INVERSIÓN;2332903;0
10;02;01;31;02;;Proyectos;2332903;0
