Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
19;02;01;08;;;OTROS INGRESOS CORRIENTES;110549;0
19;02;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;87990;0
19;02;01;08;99;;Otros;22559;0
19;02;01;09;;;APORTE FISCAL;24210464;0
19;02;01;09;01;;Libre;24210464;0
19;02;01;13;;;TRANSFERENCIAS PARA GASTOS DE CAPITAL;3781130;0
19;02;01;13;02;;Del Gobierno Central;3781130;0
19;02;01;13;02;001;Subsecretaría de Educación;3781130;0
19;02;01;15;;;SALDO INICIAL DE CAJA;1000;0
19;02;01;21;;;GASTOS EN PERSONAL;7827174;0
19;02;01;22;;;BIENES Y SERVICIOS DE CONSUMO;1775063;0
19;02;01;24;;;TRANSFERENCIAS CORRIENTES;567126;0
19;02;01;24;01;;Al Sector Privado;357895;0
19;02;01;24;01;519;Programa Digitaliza Chile;357895;0
19;02;01;24;02;;Al Gobierno Central;209231;0
19;02;01;24;02;518;Programa Fortalecimiento Regional;209231;0
19;02;01;25;;;INTEGROS AL FISCO;321;0
19;02;01;25;01;;Impuestos;321;0
19;02;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;366704;0
19;02;01;29;04;;Mobiliario y Otros;5601;0
19;02;01;29;05;;Máquinas y Equipos;205275;0
19;02;01;29;06;;Equipos Informáticos;27531;0
19;02;01;29;07;;Programas Informáticos;128297;0
19;02;01;33;;;TRANSFERENCIAS DE CAPITAL;17564755;0
19;02;01;33;01;;Al Sector Privado;17564755;0
19;02;01;33;01;039;Fondo de Desarrollo de las Telecomunicaciones;17564755;0
19;02;01;34;;;SERVICIO DE LA DEUDA;1000;0
19;02;01;34;07;;Deuda Flotante;1000;0
19;02;01;35;;;SALDO FINAL DE CAJA;1000;0
