Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
12;02;04;06;;;RENTAS DE LA PROPIEDAD;103000;0
12;02;04;07;;;INGRESOS DE OPERACIÓN;7139960;0
12;02;04;08;;;OTROS INGRESOS CORRIENTES;3090000;0
12;02;04;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;309000;0
12;02;04;08;02;;Multas y Sanciones Pecuniarias;2781000;0
12;02;04;09;;;APORTE FISCAL;1074386796;0
12;02;04;09;01;;Libre;1074386796;0
12;02;04;10;;;VENTA DE ACTIVOS NO FINANCIEROS;308485;0
12;02;04;10;03;;Vehículos;129780;0
12;02;04;10;05;;Máquinas y Equipos;178705;0
12;02;04;15;;;SALDO INICIAL DE CAJA;100000;0
12;02;04;21;;;GASTOS EN PERSONAL;91193347;0
12;02;04;22;;;BIENES Y SERVICIOS DE CONSUMO;7884239;0
12;02;04;23;;;PRESTACIONES DE SEGURIDAD SOCIAL;723060;0
12;02;04;23;01;;Prestaciones Previsionales;723060;0
12;02;04;24;;;TRANSFERENCIAS CORRIENTES;908769;0
12;02;04;24;01;;Al Sector Privado;908769;0
12;02;04;24;01;001;Compensación Tránsito con Sobrepeso;908769;0
12;02;04;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;1779405;0
12;02;04;29;03;;Vehículos;105575;0
12;02;04;29;04;;Mobiliario y Otros;10300;0
12;02;04;29;05;;Máquinas y Equipos;1236000;0
12;02;04;29;06;;Equipos Informáticos;92124;0
12;02;04;29;07;;Programas Informáticos;335406;0
12;02;04;31;;;INICIATIVAS DE INVERSIÓN;982538421;0
12;02;04;31;01;;Estudios Básicos;2761192;0
12;02;04;31;02;;Proyectos;979777229;0
12;02;04;34;;;SERVICIO DE LA DEUDA;1000;0
12;02;04;34;07;;Deuda Flotante;1000;0
12;02;04;35;;;SALDO FINAL DE CAJA;100000;0
