Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
05;04;01;08;;;OTROS INGRESOS CORRIENTES;22319;0
05;04;01;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;12315;0
05;04;01;08;99;;Otros;10004;0
05;04;01;09;;;APORTE FISCAL;13921316;0
05;04;01;09;01;;Libre;13921316;0
05;04;01;21;;;GASTOS EN PERSONAL;6060546;0
05;04;01;22;;;BIENES Y SERVICIOS DE CONSUMO;3879222;0
05;04;01;24;;;TRANSFERENCIAS CORRIENTES;3570939;0
05;04;01;24;01;;Al Sector Privado;185720;0
05;04;01;24;01;041;Al Sector Privado;185720;0
05;04;01;24;02;;Al Gobierno Central;194099;0
05;04;01;24;02;001;Red de Respaldo de Telecomunicaciones - Ejército de Chile;194099;0
05;04;01;24;03;;A Otras Entidades Públicas;3191120;0
05;04;01;24;03;017;Capacitación en Protección Civil;458340;0
05;04;01;24;03;018;Universidad de Chile - Red Sismológica;2732780;0
05;04;01;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;432928;0
05;04;01;29;03;;Vehículos;66215;0
05;04;01;29;05;;Máquinas y Equipos;251320;0
05;04;01;29;06;;Equipos Informáticos;115393;0
