Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
09;01;31;08;;;OTROS INGRESOS CORRIENTES;2336;0
09;01;31;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;1169;0
09;01;31;08;99;;Otros;1167;0
09;01;31;09;;;APORTE FISCAL;5839800;0
09;01;31;09;01;;Libre;5839800;0
09;01;31;15;;;SALDO INICIAL DE CAJA;2000;0
09;01;31;21;;;GASTOS EN PERSONAL;3472215;0
09;01;31;22;;;BIENES Y SERVICIOS DE CONSUMO;371560;0
09;01;31;24;;;TRANSFERENCIAS CORRIENTES;1998361;0
09;01;31;24;03;;A Otras Entidades Públicas;1998361;0
09;01;31;24;03;003;Aplicación Ley N° 20.129;1741248;0
09;01;31;24;03;005;Comisión Ley N° 20.027;257113;0
09;01;31;34;;;SERVICIO DE LA DEUDA;1000;0
09;01;31;34;07;;Deuda Flotante;1000;0
09;01;31;35;;;SALDO FINAL DE CAJA;1000;0
