Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
08;01;06;08;;;OTROS INGRESOS CORRIENTES;48437;0
08;01;06;08;01;;Recuperaciones y Reembolsos por Licencias Médicas;42865;0
08;01;06;08;99;;Otros;5572;0
08;01;06;09;;;APORTE FISCAL;8698076;0
08;01;06;09;01;;Libre;8698076;0
08;01;06;12;;;RECUPERACIÓN DE PRÉSTAMOS;10;0
08;01;06;12;10;;Ingresos por Percibir;10;0
08;01;06;21;;;GASTOS EN PERSONAL;1661608;0
08;01;06;22;;;BIENES Y SERVICIOS DE CONSUMO;179740;0
08;01;06;24;;;TRANSFERENCIAS CORRIENTES;6905175;0
08;01;06;24;03;;A Otras Entidades Públicas;6905175;0
08;01;06;24;03;001;Tribunales Tributarios y Aduaneros;6905175;0
